libnghttp2 1.65.0-1
libnghttp3 1.8.0-1
libngtcp2 1.11.0-1
libnice 0.1.22-1
libnl 3.11.0-1
libnm 1.52.0-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.4-1
libnsl 2.0.1-1
libnvme 1.11.1-2
libogg 1.3.5-2
libopenmpt 0.7.13-2
libp11-kit 0.25.5-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipewire 1:1.4.1-1
libplacebo 7.349.0-4
libpng 1.6.47-1
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libraqm 0.10.2-1
libraw 0.21.3-1
libraw1394 2.1.2-4
librsvg 2:2.60.0-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libsigc++-3.0 3.6.0-1
libsm 1.2.6-1
libsndfile 1.2.2-3
libsodium 1.0.20-1
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspnav 1.1-2
libspng 0.7.4-2
libssh 0.11.1-1
libssh2 1.11.1-1
libstemmer 2.2.0-2
libsysprof-capture 48.0-1
libtasn1 4.20.0-1
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtirpc 1.3.6-1
libtool 2.5.4+r1+gbaa1fe41-3
libtorrent-rasterbar 1:2.0.11-3
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.1-3
liburing 2.9-1
libusb 1.0.28-1
libusb-compat 0.1.8-2
libutf8proc 2.10.0-1
libuv 1.50.0-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvorbis 1.3.7-4
libvpl 2.14.0-1
libvpx 1.15.0-1
libvterm 0.3.3-2
libwacom 2.15.0-1
libwebp 1.5.0-1
libwireplumber 0.5.8-1
libx11 1.8.12-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfce4ui 4.20.1-1
libxfce4util 4.20.1-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.8.1-1
libxkbcommon-x11 1.8.1-1
libxkbfile 1.1.3-1
libxml2 2.13.6-3
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.43-1
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.3-1
licenses 20240728-1
lilv 0.24.26-1
linux 6.13.8.arch1-1
linux-api-headers 6.13-1
linux-firmware 20250311.b69d4b74-3
linux-firmware-whence 20250311.b69d4b74-3
lld 19.1.7-1
llvm 19.1.7-1
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
log4cplus 2.1.0-2
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.4-1
lua 5.4.7-1
lua51-lpeg 1.1.0-3
luajit 2.1.1736781742-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
mariadb-lts 11.4.5-1
mariadb-lts-clients 11.4.5-1
mariadb-lts-libs 11.4.5-1
materialx 1.38.10-6
md4c 0.5.2-1
mdadm 4.4-1
mercurial 6.9.4-1
mesa 1:25.0.2-2
minizip 1:1.3.1-2
minizip-ng 4.0.8-1
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mpdecimal 4.0.0-2
mpfr 4.2.2-1
mpg123 1.32.10-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
nano 8.3-1
nasm 2.16.03-1
ncurses 6.5-3
neovim 0.10.4-2
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
ninja 1.12.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.1.0-3
nodejs 23.9.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.03.01-1
npm 11.2.0-1
npth 1.8-1
nspr 4.36-1
nss 3.109-1
nvidia-utils 570.133.07-1
obsidian 1.8.9-2
ocl-icd 2.3.2-2
onetbb 2022.0.0-2
oniguruma 6.9.10-1
openal 1.24.2-1
opencolorio 2.4.0-6
opencore-amr 0.1.6-2
openexr 3.3.3-1
openh264 2.6.0-1
openimagedenoise 2.3.2-2
openimageio 2.5.18.0-2
openjpeg2 2.5.3-1
openpgl 0.7.0-1
openshadinglanguage 1.13.12.0-2
openssh 9.9p2-1
openssl 3.4.1-1
opensubdiv 3.6.0-1
openvdb 12.0.0-2
openxr 1.1.43-1
opus 1.5.2-1
orc 0.4.41-1
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-mirrorlist 20250311-1
pam 1.7.0-2
pambase 20230918-2
pamixer 1.6-3
pango 1:1.56.3-1
pangomm-2.48 2.56.1-1
parted 3.6-2
paru 2.0.4-1
paru-debug 2.0.4-1
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.1-1
perl 5.40.1-2
perl-error 0.17030-1
perl-mailtools 2.22-1
perl-timedate 2.33-7
pinentry 1.3.1-5
pipewire 1:1.4.1-1
pipewire-alsa 1:1.4.1-1
pipewire-audio 1:1.4.1-1
pipewire-jack 1:1.4.1-1
pipewire-pulse 1:1.4.1-1
pipewire-session-manager 1:1.4.1-1
pixman 0.44.2-1
pkgconf 2.4.3-1
polkit 126-2
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-3
procps-ng 4.0.5-3
protobuf 30.1-1
psmisc 23.7-1
ptex 2.4.3-1
pugixml 1.15-2
pybind11 2.13.6-2
pyside6 6.8.2.1-1
pystring 1.1.4-2
python 3.13.2-1
python-appdirs 1.4.4-11
python-argcomplete 3.5.3-1
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-build 1.2.2-3
python-cairo 1.27.0-2
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-colorama 0.4.6-5
python-cryptography 44.0.2-1
python-dotty-dict 1.3.1-5
python-entrypoints 0.4-6
python-filelock 3.18.0-1
python-gobject 3.52.3-3
python-halo 0.0.31-7
python-hid 1.0.6-3
python-hjson 3.1.0-4
python-idna 3.10-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jinja 1:3.1.5-1
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-log_symbols 0.0.14-7
python-markupsafe 2.1.5-3
python-mccabe 0.7.0-8
python-milc 1.9.0-2
python-more-itertools 10.6.0-1
python-numpy 2.2.4-1
python-opengl 3.1.7-2
python-packaging 24.2-3
python-pillow 11.1.0-1
python-pip 25.0.1-1
python-platformdirs 4.3.6-2
python-pycodestyle 2.12.1-2
python-pycparser 2.22-3
python-pyflakes 3.2.0-3
python-pygments 2.19.1-1
python-pyproject-hooks 1.2.0-3
python-pyserial 3.5-7
python-pyusb 1.2.1-6
python-referencing 0.35.1-3
python-requests 2.32.3-4
python-rpds-py 0.22.3-1
python-setuptools 1:75.8.0-1
python-six 1.17.0-1
python-spinners 0.0.24-6
python-termcolor 2.5.0-1
python-urllib3 2.3.0-1
python-wheel 0.45.1-1
qbittorrent 5.0.4-3
qmk 1.1.6-1
qt6-base 6.8.2-3
qt6-declarative 6.8.2-1
qt6-imageformats 6.8.2-1
qt6-multimedia 6.8.2-1
qt6-multimedia-ffmpeg 6.8.2-1
qt6-svg 6.8.2-1
qt6-translations 6.8.2-1
qt6-virtualkeyboard 6.8.2-1
qt6-wayland 6.8.2-1
rav1e 0.7.1-1
re2 1:20240702-4
readline 8.2.013-1
reflector 2023-3
ripgrep 14.1.1-1
rnnoise 1:0.2-1
rofi 1.7.8-2
rtkit 0.13-3
rubberband 4.0.0-1
rust 1:1.85.1-1
sbc 2.0-2
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sdl2-compat 2.32.52-1
sdl3 3.2.8-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.1-1
serd 0.32.4-1
shaderc 2025.1-1
shadow 4.17.4-1
shared-mime-info 2.4-1
shiboken6 6.8.2.1-1
simdjson 1:3.12.2-1
slang 2.3.3-3
slurp 1.5.0-1
snappy 1.2.1-2
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
spdlog 1.15.1-1
speedtest-cli 2.1.3-9
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.309.0-1
sqlite 3.49.1-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
steam 1.0.0.82-1
sudo 1.9.16.p2-2
svt-av1 3.0.1-1
systemd 257.4-1
systemd-libs 257.4-1
systemd-sysvcompat 257.4-1
tar 1.35-2
tdb 1.4.13-1
telegram-desktop 5.12.3-5
texinfo 7.2-1
thunar 4.20.2-1
thunar-archive-plugin 0.5.3-1
tinysparql 3.9.1-1
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.3-1
tree-sitter-c 0.23.5-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.5.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-iosevka 32.5.0-1
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-liberation 2.1.5-2
tzdata 2025b-1
udisks2 2.10.1-5
unibilium 2.1.2-1
unzip 6.0-22
usbutils 018-1
usd 25.02.a-1
util-linux 2.41-3
util-linux-libs 2.41-3
v4l-utils 1.28.1-2
vapoursynth R70-2
